lakecode,lakename,continent,country,state,IntermittentIceCover,Latitude_dd,Longitude_dd,Elevation_m,MeanAnnualAirTemp_c,SurfaceArea_km2,MeanDepth_m,MaximumDepth_m,Volume_mcm,WatershedArea_km2,ShorelineLength_km,ResidenceTime_days,MeanDischarge_m3_sec,Slope_degrees,ShorelineDevelopment,JFMCloudCover_perc,JFMPrecipitation_mm,DistanceToCoast_km,MaximumDistanceToLand_km
ARAI1,LAKE SUWA,A,Japan,NAGANO PREFECTURE,Y,36.04871506,138.0837098,759,8.419309093,12.9,4.7,7.6,99.82,525.3,18,65.7,17.589,2.76,1.19,60.47642378,155.8487828,104.08,1.6
ASK01,LAKE MJOSA - KISA-KAPP,E,Norway,,Y,60.7709675,11.0239687,121,4.042682998,365,153,449,29025.4,16679.6,340.3,1216.6,276.143,8.39,5.03,61.03252141,101.6243921,97.84,3.8
BB1,MERCER,N,United States,WI,N,46.15989217,-90.05923505,482.2,4.038617955,0.745,3.35,7.32,2.68,278.4,6.08,6.2,4.965,1.74,1.99,67.19105849,95.45366006,897.32,0.4
BB2,TURTLE FLAMBEAU FLOWAGE,N,United States,WI,N,46.07498711,-90.1374156,479.15,4.038617955,54.8,4.9,15.2,294.8,1536.6,247.26,143.8,23.727,1.5,8.98,67.19105849,95.45366006,907.9,1.5
BIR1,LAKE BALATON,E,Hungary,,Y,46.88183838,17.83831935,104,10.79044734,596,3,11.2,1900,5746.8,195,1024.1,21.474,,2.39,72.1130091,100.0585387,304.09,6
CFM1,LAKE HILBERT,N,United States,WI,N,45.70807149,-88.41238406,447,4.813008215,1.13,2.74,9.75,6.22,7,7.32,1160.3,0.062,3.96,2.01,70.70487948,96.88536767,844.91,0.4
DD01,SAND LAKE,N,United States,WI,N,45.92,-92.18,,6.10873995,3.755,6.4,15.24,,,,,,,,67.43658661,71.99024504,1035.92,
DML1,LEJ DA SAN MUREZZAN,E,Switzerland,GRISONS,N,46.49367459,9.846736107,1768,0.64532522,0.78,25,44,4.56,162.4,3.8,9.2,5.768,9.44,1.41,61.44471677,434.9585448,215.97,0.3
DML2,LEJ DA SILVAPLAUNA,E,Switzerland,GRISONS,N,46.44743476,9.793260223,1790.5,0.64532522,2.7,47,77,34.81,125.6,7.42,90.1,4.471,9.11,1.38,61.44471677,434.9585448,218.68,0.6
DML3,LEJ DA SEGL,E,Switzerland,GRISONS,N,46.42035333,9.738537012,1797,0.64532522,4.1,33.5,71,77.78,73.1,14.37,344,2.617,11.03,2.09,61.44471677,434.9585448,218.98,0.7
DMR1,LAKE MENDOTA,N,United States,WI,N,43.12837789,-89.42022411,259.1,7.564634289,39.377,12.8,25.3,197.4,640.1,33.8,377.8,6.047,2.61,2.16,68.92032679,116.0829285,1121.1,2.5
DMR2,LAKE MONONA,N,United States,WI,N,43.06709696,-89.36644349,257.5,7.564634289,13.24,8.2,22.5,88.59,729,20.9,149.6,6.856,2.36,1.61,68.92032679,116.0829285,1126.77,1.4
EC01,BASS-PATTERSON LAKE,N,United States,WI,N,45.9448744,-91.62915952,348,5.754065142,0.761,4.7,10.7,4.35,5.2,4.96,1006.2,0.05,2.76,1.45,67.81626148,72.44146457,1002.48,0.5
EK10,LAKE VATIANJARVI (1423),E,Finland,,N,62.46666667,25.88333333,89,3.350609803,6,4,28,,,25,,,,,71.39674923,87.15853792,201.79,
EK11,LAKE KOIVUJARVI (1425),E,Finland,,N,63.46666667,26.25,130,3.246544784,26,7,,,,88,,,,,69.59918833,82.35853766,144.46,
EK13,LAKE NILAKKA (1429),E,Finland,,N,63.13333333,26.55,102,3.375000049,163,6,27,,,356,,,,,69.64390378,82.36585592,176.38,
EK17,LAKE PETAJAVESI (1450),E,Finland,,N,62.23333333,25.2,111,3.696341517,12,5,26,,,73,,,,,71.44553009,82.6780502,187.88,
EK18,LAKE SALOSJARVI (1451),E,Finland,,N,62.11666667,25.2,102,3.696341517,8,4.46,13.4,,,,,,,,71.44553009,82.6780502,182.69,
EK20,LAKE JOUTSJARVI (1458),E,Finland,,N,61.51666667,25.83333333,86,3.681097642,11,,,,,42,,,,,68.75772501,99.06097731,111.86,
EK25,LAKE OULUJARVI (5932),E,Finland,,N,64.33333333,27.33333333,123,2.550000047,928,8,35,,,,,,,,70.1252046,74.88048888,108.35,
EK27,LAKE KIVIJARVI (1408),E,Finland,,N,63,25.16666667,118,3.050203312,154.026,8.36,43.78,,,,,,,,67.96178976,82.34634277,134.38,
EK3,LAKE KOLIMA (1405),E,Finland,,N,63.2783635,25.75716897,111,3.129878101,105,9,66,1264.41,1299.3,230,1380.2,10.603,2.33,5.18,69.14796897,82.16341608,136.48,2.8
EK9,LAKE KIIMASJARVI (1421),E,Finland,,N,62.62761325,25.49830156,107,3.316666731,4,9.1,19.5,31.29,1481.8,20,30.8,11.765,4.3,3.03,70.11870076,84.2780506,175.28,0.4
ETJ1,ANDERSON LAKE,N,United States,WI,N,46.17,-89.35,520,3.631910647,0.133,,19,,,,,,,,68.91138359,94.74390436,854.08,
GAH1,LAKE AUBURN,N,United States,ME,N,44.15068105,-70.25056502,79,6.244309059,8.89,4.7,,41.9,51.6,17.94,337.9,1.435,4.26,1.7,66.28618023,300.0219563,34.06,1.3
GAH10,KEZAR LAKE,N,United States,ME,N,44.1934099,-70.90120978,114,4.861178954,10.78,2.5,48,27.1,147.1,43.44,58.6,5.348,4.7,3.73,67.50731864,295.1024438,72.64,0.7
GAH11,MARANACOOK LAKE,N,United States,ME,N,44.34961978,-69.95481882,61,6.89715459,7,12.2,,85.17,87.6,31.43,414.2,2.38,4.75,3.35,65.96991975,287.2243951,30.25,0.7
GAH12,MESSALONSKEE LAKE,N,United States,ME,N,44.47680834,-69.79217088,69,6.89715459,15.18,9.6,35,145.9,459,53.04,138.9,12.156,3.13,3.84,65.96991975,287.2243951,41.13,1.5
GAH14,MOOSELOOKMEGUNTIC LAKE,N,United States,ME,N,44.93822091,-70.81333274,441,3.577642342,59.49,4,41,236.9,999.5,104.04,125.8,21.791,3.77,3.81,69.10813159,315.9146398,125,2.3
GAH15,PENNESSEEWASSEE (NORWAY) LAKE,N,United States,ME,N,44.23362539,-70.58779471,118,4.861178954,3.54,10,,35.41,60.6,17.94,222.6,1.841,4.79,2.69,67.50731864,295.1024438,56.89,0.4
GAH16,PONKAPOAG POND,N,United States,MA,N,42.19247613,-71.09534586,47,10.01260179,0.81,5,,4.05,4.9,3.98,360.1,0.13,3.29,1.24,64.72845657,305.1634187,13.04,0.6
GAH17,PONTOOSUC LAKE,N,United States,MA,N,42.49580119,-73.24762999,334,8.169918869,2.03,6.5,11,13.18,54.4,6.86,119.8,1.273,3.5,1.36,67.85935121,274.6390285,136.35,0.7
GAH18,PORTAGE LAKE,N,United States,ME,N,46.78790715,-68.53429874,183,3.30121958,9.24,8.1,,74.57,574.8,31.66,78.8,10.954,2.66,2.94,65.30650528,211.1439066,132.26,0.7
GAH2,AZISCOHOS LAKE,N,United States,ME,N,45.02761407,-71.00692285,456,4.336585464,25.71,15.4,18.288,396.2,548,82.59,394.3,11.629,6.58,4.59,68.89593667,246.7146378,142.23,0.9
GAH20,RICHARDSON LAKE,N,United States,ME,N,44.82672408,-70.86482964,436,3.577642342,28.81,5.6,,161.3,1226.9,67.47,69.1,27.003,5.42,3.55,69.10813159,315.9146398,117.6,1.3
GAH21,SEBAGO LAKE,N,United States,ME,Y,43.84484755,-70.56620232,80,7.498374149,118.75,4,33,473.6,1138.6,122.53,156.8,34.949,3.61,3.17,66.39593608,251.4219562,30.31,4.2
GAH22,SEBEC LAKE,N,United States,ME,N,45.27895438,-69.28187465,96,4.348780583,24.76,7.5,48,185,843.3,64.82,102.6,20.865,5.06,3.67,66.01788739,261.7195171,75.84,1.4
GAH23,SQUA PAN LAKE,N,United States,ME,N,46.56057412,-68.31544831,184,3.672154544,20.71,5.3,,110,177.1,55.84,335,3.801,3.39,3.46,64.10406612,193.7707343,160.5,1.1
GAH24,SUNAPEE LAKE,N,United States,NH,N,43.37603902,-72.05284452,335,6.692479796,15.77,3.2,32,50.4,119.8,45.63,258.3,2.258,5.84,3.24,67.61138361,254.6756143,112.82,1.1
GAH25,SWAN LAKE,N,United States,ME,N,44.54411246,-68.99475881,59,6.073374112,5.42,5.1,27,27.5,29.7,13.29,397.9,0.8,4.65,1.61,65.38536673,247.387809,10.67,0.9
GAH26,THOMPSON LAKE,N,United States,ME,N,44.06918379,-70.48948672,99,6.244309059,16.89,18.5,,313.05,124.6,43.52,980.6,3.695,5.48,2.99,66.28618023,300.0219563,40.18,1.1
GAH27,UMBAGOG LAKE,N,United States,NH,N,44.75973804,-71.04762638,378,3.938414713,31.75,4.6,14,147.1,2682.8,95.29,27.5,62.017,3.24,4.77,69.5674811,274.8682969,124.28,1.3
GAH28,WEST GRAND LAKE,N,United States,ME,N,45.25322196,-67.85519026,90,5.366463507,91.99,8.6,39,788.9,609.2,214.56,674.8,13.531,3.27,6.31,64.48211496,289.8414689,52.31,1.8
GAH29,LAKE WINNIPESAUKEE,N,United States,ME,N,43.60318312,-71.36157983,151,6.154268406,181.82,1.4,,256.6,954.4,357.23,140.8,21.092,5.74,7.47,66.62845643,248.1853702,74.01,2.8
GAH3,CHINA LAKE,N,United States,ME,N,44.43802104,-69.57351673,57,6.89715459,14.81,11.1,26,164.42,92.6,43.61,750.4,2.536,3.61,3.2,65.96991975,287.2243951,40.33,1
GAH4,COBBOSSEECONTEE LAKE,N,United States,ME,N,44.26646315,-69.93193143,48,6.89715459,20.88,4,,82.6,340.6,70.67,102.3,9.347,3.97,4.36,65.96991975,287.2243951,22.37,1.4
GAH5,DAMARISCOTTA LAKE,N,United States,ME,N,44.13097599,-69.48894637,15,6.640853779,17.5,10,35,175.8,179.6,70.3,402.4,5.056,4.23,4.34,65.64309069,298.3829328,11.4,1.1
GAH6,EAGLE LAKE,N,United States,ME,N,47.06893593,-68.59672343,174,3.007317126,22.24,15.1,,335.67,1979.3,53.49,100,38.833,4.32,3.2,64.94959479,216.5731732,110.19,1.5
GAH7,EMBDEN POND,N,United States,ME,N,44.93873644,-69.95236267,124,5.58678874,5.97,12.5,55,74.83,60.1,15.69,582,1.488,5.21,1.81,66.26260283,264.7707361,93.26,0.9
GAH8,FIRST CONNECTICUT LAKE,N,United States,NH,N,45.09431356,-71.24909783,491,4.336585464,10.67,13.2,50,140.6,220.4,28.98,331.8,4.905,4.79,2.5,68.89593667,246.7146378,161.91,1.3
GAH9,HOUGHTONS (HOOSICWHISICK) POND,N,United States,MA,N,42.20722222,-71.09638889,50,10.01260179,0.1,13,,,,,,,,,64.72845657,305.1634187,9.2,
GC1,SKIFF LAKE,N,Canada,NB,N,45.81445189,-67.53637334,205,4.819309026,6.26,10.8,,67.56,26.8,18.86,1352.9,0.578,4.3,2.13,64.02439164,270.6243951,71.5,1
GW202,RUNN,E,Sweden,,N,60.53042075,15.65327723,106.8,3.406300854,64.7024,8.3,29.5,648.91,2755.7,125.37,267.5,28.077,2.48,4.45,66.69837521,110.2512213,84.51,1.8
GW240,ORSASJON,E,Sweden,,N,61.07247475,14.54801963,159.9,2.519715491,52.827,17.3,92.2,481.1,2602.8,58.12,189.8,29.333,2.35,2.27,65.82357869,103.1926848,139.75,2.5
GW341,NACKTEN,E,Sweden,,N,62.82382675,14.63117254,323.95,2.349593544,84.2389,15.5,44,1896.39,345.8,147.27,8550.4,2.567,4.71,4.57,66.06422902,80.54634329,144.16,2
GW369,KALLSJON,E,Sweden,,N,63.56777875,12.97718981,380.525,0.768495953,156.3551,40.1,102.825,450,3043.1,235.69,65.2,79.905,6.45,4.76,67.29187117,208.9390281,79.38,3.8
GW484,STORUMAN,E,Sweden,,N,65.2615295,16.70974942,350.125,-1.044308987,163.47221,25.6,128.75,1101,7272.7,273.27,72,176.906,4.76,5.93,65.96829341,110.9731719,164.54,2.3
GW512,GOUTA,E,Sweden,,N,65.61206525,15.5179385,438.63333,-2.164024436,31.5935,17.2,58,209,3659.6,91.43,22.1,109.605,5.91,3.76,66.74471661,207.8829308,95.95,1.2
GW592,JUKKASJARVI,E,Sweden,,N,67.82508,20.70512184,322.35,-2.097154489,13.50505,9.6,,128.31,7697.8,38.88,19.7,75.283,3.26,3.01,60.07479731,76.83658664,133.86,1.7
HB01,MIRROR LAKE,N,United States,NH,N,43.9436421,-71.69299041,213,5.699187094,0.15,4.8,11.5,0.58,0.9,1.37,281.9,0.024,5.64,1.11,67.55284727,244.6414674,114.65,0.2
JD01,LAKE KEGONSA,N,United States,WI,N,42.96564792,-89.25144033,256.95,7.916463523,12.99,5.18,9.45,68.85,986.7,15.41,87.2,9.135,2.03,1.23,68.95040844,125.5512218,1120.55,1.7
JGL01,SPIRIT LAKE,N,United States,IA,N,43.47709337,-95.10176239,427,7.182926943,4.31,2.3,3.23,48.42,189.7,26.54,571.9,0.98,0.84,1.62,67.18943225,77.44634255,1391.78,1.9
JGL02,EAST OKOBOJI LAKE,N,United States,IA,N,43.39,-95.1,426,7.182926943,7.46,3,6.71,,,,,,,,67.18943225,77.44634255,1397.93,
JGL03,WEST OKOBOJI LAKE,N,United States,IA,N,43.39,-95.16,426,7.182926943,15.65,11.5824,41.45,,,,,,,,67.18943225,77.44634255,1402.6,
JJM1,ALLEQUASH LAKE,N,United States,WI,N,46.03668734,-89.62049582,494.2,3.745122033,1.684,2.9,8,10.34,38.9,8.8,177.3,0.675,3.9,1.98,67.64959435,94.31219699,881.98,0.5
JJM10,NORTH TWIN LAKE,N,United States,WI,N,46.04679463,-89.1415281,512.67,3.631910647,11.26,8.53,14,137.53,70.1,22.53,1392.7,1.143,3.29,1.7,68.91138359,94.74390436,852.68,1.3
JJM11,(BIG) LONG LAKE,N,United States,WI,N,45.75,-91.65,,5.754065142,13.32,7.92,,,,,,,,,67.81626148,72.44146457,1019.32,
JJM13,LAKE KOSHKONONG,N,United States,WI,N,42.87298679,-88.9636817,236.53,8.184349752,42.42,1.52,2,328.39,6675.1,39.48,70.9,53.614,2.04,1.68,70.19674934,127.6536609,1094.41,2.2
JJM14,LAKE SHISHEBOGAMA,N,United States,WI,N,45.89739739,-89.81884176,479.7,4.108333427,2.9,5.18,,12.9,182.3,15.13,53.1,2.814,2.24,2.61,68.65853826,94.90975766,902.38,0.5
JJM15,LAKE ESCANABA,N,United States,WI,N,46.06422356,-89.5865184,502.92,3.745122033,1.17,4.27,,6.33,38.6,5.38,103.8,0.706,3.32,1.39,67.64959435,94.31219699,876.65,0.5
JJM16,LAKE MALLALIEU,N,United States,WI,N,44.98949846,-92.73948487,210.92,7.37032536,1.14,1.52,,5.67,767.1,7.15,11.5,5.685,4.44,2.06,67.69837499,89.09512363,1138.68,0.4
JJM17,LAKE NEBISH,N,United States,WI,N,46.05142896,-89.58883589,502.92,3.745122033,0.37,5.49,,1.57,2.2,3.09,454.1,0.04,3.96,1.52,67.64959435,94.31219699,876.65,0.4
JJM18,LAKE WINGRA,N,United States,WI,N,43.05414937,-89.41921729,258.47,7.564634289,1.4,3.1,4,3.92,22.1,5.82,222.3,0.204,1.69,1.45,68.92032679,116.0829285,1128.54,0.5
JJM19,MYSTERY LAKE,N,United States,WI,N,46.05,-89.56666667,506.27,3.745122033,0.08,,,,,,,,,,67.64959435,94.31219699,876.65,
JJM2,BIG MUSKELLUNGE LAKE,N,United States,WI,N,46.01608472,-89.62256607,500.3,3.745122033,3.963,7.5,21.3,22.52,21.6,13.07,702.6,0.371,2.89,1.98,67.64959435,94.31219699,881.98,0.7
JJM20,LITTLE LAKE (BRADLEY),N,United States,WI,N,44.91666667,-87.28333333,,6.869309088,0.1,,1.83,,,,,,,,68.8203267,118.0170751,864.54,
JJM21,ROCK LAKE,N,United States,WI,N,43.07774868,-88.93175983,252.07,8.051626162,5.55,4.88,,34.9,50,14.3,966.4,0.418,2.2,1.77,69.74878172,116.7000014,1099.64,0.9
JJM22,SHELL LAKE,N,United States,WI,N,45.732154,-91.89643514,370.94,5.754065142,10.45,7.01,11,50.86,68,18,966.5,0.609,1.91,1.58,67.81626148,72.44146457,1033.45,1.3
JJM23,SPRUCE LAKE,N,United States,WI,N,46.05,-89.56666667,506.58,3.745122033,0.06,,,,,,,,,,67.64959435,94.31219699,876.65,
JJM24,BIG GREEN LAKE,N,United States,WI,Y,43.80378675,-89.02786819,242.93,7.35914647,29.65,31.7,71.9328,49.3,257.9,48.59,270.6,2.109,3.33,2.45,69.30406642,106.5463435,1040.3,1.4
JJM26,DEVILS LAKE,N,United States,WI,N,43.41687466,-89.73209947,293.52,7.415650528,1.51,9.14,,27.76,10.8,5.31,2920.9,0.11,14.64,1.26,68.46504171,109.1829284,1109.9,0.4
JJM27,LAKE GENEVA,N,United States,WI,Y,42.56847127,-88.47947845,263.35,8.307113962,20.66,18.59,41.148,49.3,77.9,32.71,756.8,0.754,4.57,2,70.20975767,135.1585384,1043.4,1.2
JJM28,MAPLE LAKE,N,United States,WI,N,46.14090908,-89.72709959,497.74,3.745122033,0.19,2.3,,0.43,2.1,3.37,119,0.042,1.05,2.19,67.64959435,94.31219699,879.33,
JJM3,CRYSTAL BOG,N,United States,WI,N,46,-89.6,502,4.108333427,0.005,1.7,2.5,,,,,,,,68.65853826,94.90975766,881.98,
JJM31,ANVIL LAKE,N,United States,WI,N,45.9442104,-89.06448243,516.6,3.936585418,1.6,5.79,9.75,8.7,10.7,7.79,666.6,0.151,3.48,1.56,69.13170903,93.90000144,858.04,0.6
JJM32,CHEQUAMEGON BAY,N,United States,WI,N,46.6,-90.89,182.88,4.001219593,,7,23,,,,,,,,64.05122037,119.8902461,911.67,
JJM33,LAKE SUPERIOR AT BAYFIELD,N,United States,WI,Y,46.81,-90.81,182.88,4.001219593,,,,,,,,,,,64.05122037,119.8902461,893.21,
JJM4,CRYSTAL LAKE,N,United States,WI,N,46.00163865,-89.61286129,502.1,3.745122033,0.367,10.4,20.4,1.13,8.9,2.14,86.4,0.151,2.13,1.06,67.64959435,94.31219699,881.98,0.3
JJM5,LITTLE ROCK LAKE,N,United States,WI,N,45.99765617,-89.70497639,495.61,4.108333427,0.15,3.8,,0.54,0.7,2.27,477.4,0.013,3.27,1.71,68.65853826,94.90975766,889.51,0.2
JJM6,SPARKLING LAKE,N,United States,WI,N,46.00862229,-89.70046914,494.8,3.745122033,0.64,10.9,20,2.47,4,3.33,413.8,0.069,2.86,1.25,67.64959435,94.31219699,886.39,0.2
JJM7,TROUT BOG,N,United States,WI,N,46.03333333,-89.68333333,494,3.745122033,0.011,5.6,7.9,,,,,,,,67.64959435,94.31219699,886.39,
JJM8,TROUT LAKE,N,United States,WI,N,46.03333333,-89.66666667,491.8,3.745122033,16.079,14.6,35.7,,,,,,,,67.64959435,94.31219699,884.18,
JK01,OULUJARVI,E,Finland,,N,64.3,27.3,122.7,2.550000047,887,,,,,,,,,,70.1252046,74.88048888,109.14,
JK02,LAKE KALLAVESI (4079),E,Finland,,N,62.83,27.77,81.8,3.467886229,316,9.7,75,,,,,,,,71.64878185,87.59268422,236.07,
JK03,LAKE NASIJARVI (3568),E,Finland,,N,61.53,23.75,95.4,3.772357772,256,13,61,,,,,,,,72.83496072,92.27073319,103.53,
JK04,LAKE VESIJARVI (1462),E,Finland,,N,61.18,25.54,81.4,3.972357789,107.6,6.6,40,,,169,,,,,67.98211481,99.95366001,79.1,
JK05,LAKE PAIJANNE (1463),E,Finland,,N,61.18,25.54,78.3,3.681097642,1080,15,94.5,,,2345,,,,,68.75772501,99.06097731,79.1,
JK06,MUURASJARVI (1401),E,Finland,,N,63.5067145,25.3576493,112.2,2.807113856,21.05,8.98,35.71,161.51,118.7,61,1899.7,0.984,2.41,2.87,66.63333477,78.96829411,104.14,1.1
JK07,KALMARINJARVI (1417),E,Finland,,N,62.778865,24.99782492,129.8,3.310772398,7.05,5.7,22,77.24,138.4,19,835.5,1.07,4.22,1.82,68.98130221,78.78292807,143.59,1
JK08,SUMMASJARVI (1419),E,Finland,,N,62.64480075,25.38871454,108.5,3.316666731,21.9,6.8,41,270.94,783.5,42.59,509.1,6.16,3.78,2.61,70.11870076,84.2780506,167.79,1.6
JK09,PIELAVESI - SAVIA (1427),E,Finland,,N,63.2,26.67,102.3,3.375000049,110,,,,,,,,,,69.64390378,82.36585592,176.32,
JK10,HANKAVESI - RAUTALAMPI (1436),E,Finland,,N,62.5962525,26.74518901,96.1,3.562601677,18.2,7.04,49,277.59,870.7,101.84,382.3,8.403,3.93,6.29,70.96910728,85.65122098,224.13,0.7
JK11,YLA-KIVIJARVI - JURVALA (1488),E,Finland,,N,61.01162175,27.74017627,75.2,4.086991936,76.4,5.3,27,1618.74,490.2,268.03,3461.8,5.412,4.46,8.65,73.15691199,105.4317091,48.7,1
JK12,LAPPAJARVI - HALKOSAARI (4703),E,Finland,,N,63.1565095,23.72044812,69.5,3.054268338,145.5,6.9,39,2459.92,1521.4,108.71,2359.8,12.065,2.83,2.55,68.52439152,77.943904,70.54,3.5
JK13,KITUSJARVI (3548),E,Finland,,N,62.2827245,24.05533805,116.2,3.736991934,0.5,4.7,,2.36,582.2,5.44,5.5,4.947,3.43,2.17,71.98455441,76.55122101,136.37,0.1
JK14,KUKKIA - PUUTIKKALA (3512),E,Finland,,N,61.32826525,24.66871311,86.6,3.976219597,43.4,16.3,35.62,941.66,1025.4,215.23,1345.2,8.102,3.78,7.99,70.72520484,93.30000142,116.83,1.2
JK15,LANGELMAVESI - KAIVANTO (3506),E,Finland,,N,61.42,24.15,84.2,3.67540655,133,6.8,59.3,,,,,,,,72.77805031,88.59024576,125.18,
JK16,ALA-KIVIJARVI - YLA-MUNNI (1489),E,Finland,,N,60.9807595,27.40014422,75.1,4.646748054,91.9,4.8,19,323.39,326.1,93.4,1064.8,3.515,6.68,6.94,74.0747984,103.3707334,46.55,0.5
JK17,ALA-RIEVELI (1468),E,Finland,,N,61.3055515,26.18039437,77.8,3.989837461,13,11.3,46.9,152.29,540.5,48.32,479.8,3.674,3.9,3.79,69.62926967,110.1829285,90.14,0.8
JK18,VESIJARVI -  LAHTI (1461),E,Finland,,N,60.99,25.65,81.4,3.972357789,107.6,6.6,40,,,,,,,,67.98211481,99.95366001,55.9,
JK19,JAASJARVI - HARTOLA (1457),E,Finland,,N,61.69148225,26.44045049,92.3,3.670731774,81.1,4.6,28.2,5788.63,1291.6,768.92,7222.7,9.276,2.84,12.9,69.91626147,102.9000017,130.61,1.6
JK20,ALA-KINTAUS (1449),E,Finland,,N,62.291679,25.36632347,154.4,3.696341517,7.2,5.2,19,47.58,87.7,23.26,773.5,0.712,2.32,2.46,71.44553009,82.6780502,188.8,0.8
JK21,IISVESI (1433),E,Finland,,N,62.67,27.04,97.9,3.562601677,164.5,,34.5,,,,,,,,70.96910728,85.65122098,229.76,
JK22,PAAJARVI - KARSTULA (1415),E,Finland,,N,62.8555,24.72974853,144.4,3.310772398,29.5,3.8,14.9,297.55,516,69.09,842.2,4.089,2.86,3.59,68.98130221,78.78292807,128.81,1.5
JK23,KIVIJARVI - SAARENKYLA (1407),E,Finland,,N,63.27,25.13,130.8,3.050203312,154,8.36,43.78,,,,,,,,67.96178976,82.34634277,113.81,
JK24,SAANIJARVI (1403),E,Finland,,N,63.4118875,25.604626,114,3.129878101,12.6,1.96,6,62.55,348.1,21.3,244.7,2.958,1.87,1.7,69.14796897,82.16341608,120.68,1.4
JK25,HAUKIVESI,E,Finland,,N,62.11,28.61,75.8,3.842276506,560,9.1,55,,,,,,,,69.82764382,94.86341657,151.25,
JK26,INARI - NELLIM,E,Finland,,N,68.85,28.3,118.7,-1.250813046,1,14.3,92,,,,,,,,71.52520476,77.00487929,100.5,
JK27,KEVOJARVI,E,Finland,,N,69.75394,27.01438653,75.3,-2.424796789,1,9.3,,10.07,728.6,9.15,16,7.303,6.64,2.48,70.34390383,107.3195136,70.33,0.3
JK28,KILPISJARVI,E,Finland,,N,69.0253405,20.79261835,472.8,-4.240447226,37.3,19.5,57,531.17,332.5,36.45,1242,4.95,6.22,2.15,62.25772427,179.4243929,43.59,1.5
JK29,KORVUANJARVI,E,Finland,,N,65.372416,28.6679415,241.8,0.281300796,15.4,6,37,75.04,29.2,32.24,2360.2,0.368,1.78,2.33,72.11870069,99.58048915,148.43,1.3
JK30,KUORTANEENJARVI,E,Finland,,N,62.8337195,23.43126167,75.8,3.54329274,14.9,3.34,16.2,163.11,235,33.64,1077.5,1.752,3.48,2.43,72.86341591,74.68780623,74.24,1.2
JK31,LENTUA,E,Finland,,N,64.25122875,29.69352715,167.9,1.9691057,77.8,7.4,52,840.13,2067.4,200.93,420,23.153,2.35,6.27,74.56097716,73.5365867,216.23,2.1
JK32,LESTIJARVI,E,Finland,,N,63.531908,24.72975385,140.7,2.746951273,64.5,5.5,6.9,349.91,369.4,71.29,1381.8,2.931,1.43,2.52,65.44065175,81.35609888,78.57,2.4
JK33,LIVOJARVI,E,Finland,,N,65.99123575,28.12126372,243.7,0.156707289,33,5.8,28,103.04,77.6,36.71,1128.3,1.057,2.25,2.61,71.74471655,99.56585521,139.93,1.2
JK34,MUTUSJARVI,E,Finland,,N,69.01966425,26.84887281,146.2,-2.217073203,50.45,8.5,74,873.49,2405.9,118.12,518.7,19.489,4.08,4.69,69.12520457,88.67317211,125.56,1.1
JK35,NAAMANKAJARVI,E,Finland,,N,65.1050725,28.30946922,173.5,0.659756101,8.52,2.9,14,92.43,385.9,38.8,222.2,4.814,3.9,3.76,72.56992049,96.55365987,131.64,0.6
JK36,OIJARVI,E,Finland,,N,65.63273975,25.90313181,89.8,1.596544744,21.05,12.7,,261.04,886,48.45,299.8,10.077,3.77,3.01,69.00569237,90.04634329,30.3,1.2
JK37,OUNASJARVI,E,Finland,,N,68.3755525,23.58705027,286.9,-2.274390279,6.9,6.6,31,100.35,1046.1,31.52,99.2,11.71,6.19,3.44,68.66260302,69.06341592,161.61,0.5
JK38,PAIJANNE - TEHI,E,Finland,,N,61.48,25.56,78.3,3.681097642,1080,15,94.5,,,,,,,,68.75772501,99.06097731,113.38,
JK39,PEERAJARVI,E,Finland,,N,68.88764225,21.0939238,459.5,-3.792276497,1.9,5.5,,10.58,963.2,6.21,10.6,11.599,2.9,1.26,59.59593564,114.1317092,62.08,0.6
JK40,PIELINEN,E,Finland,,N,63.54,29.13,93.7,2.422357765,894,10,61,,,,,,,,72.22683046,90.96829427,232.34,
JK41,POROVESI,E,Finland,,N,63.42771175,27.30617199,85.8,3.398780555,21.7,19.1,24.97,3850.84,5323.3,569.8,881.5,50.561,2.89,11.32,70.01138312,81.54634283,183.11,1.5
JK42,REHJA,E,Finland,,N,64.23,27.79,137.9,2.223983757,96.4,8.5,42,,,,,,,,72.98861933,69.35122069,133.51,
JK43,SAAKSJARVI - NURMIJARVI,E,Finland,,N,60.5075345,24.6742357,99.8,4.485975683,2.6,8.8,,21.61,5,8.73,4903.1,0.051,4.68,1.57,71.53414771,101.5219527,34.05,0.6
JK44,UNARI,E,Finland,,N,67.1645165,25.73162482,179.8,0.306504068,28.8,8.2,,241.55,499.2,64.55,720.9,3.878,2.4,3.36,71.79593609,68.20000126,157.53,1.2
JK45,VISUVESI,E,Finland,,N,62.12,23.93,96.1,3.736991934,46.2,6.95,62,,,,,,,,71.98455441,76.55122101,130.27,
JK46,PALOVESI,E,Finland,,N,61.86,23.91,96,3.772357772,25.5,9.6,60.97,,,,,,,,72.83496072,92.27073319,118.66,
