"Sample","year","month","week","colour","cond","domgl","dopercent","oldo","odour","ph","temp","turb","tdscalc","langelier","palk","talk","bicarb","carb","ca","mg","thard","na","k","sulfate","cl","dissal","ammn","bod","br","chla","fl","dissfe","dissmn","no3","orgn","rawtoc","rawdoc","uv254doc","orthop","tp","si","sulphide","blgrnalg","grnalg","diatoms","flag","crust","nema","roti","otherfauna","totgrnbg","totcoli","fcoli","totcoliback","pltct","part","ecoli","sst","ssv","ssf","partal","total","totfe","totmn","orgc","suva","fecstrep","tds","prefm","damflow","dbar","salcalc","bicarbC","carbC","ionstrength","pk1","pk2","k1","k2","hplus","ao","a1","a2","totaldicnull","totaldic","dicumol","Site","pCO2","CO2flux","CO2fluxWk","iceoffdoy","iceondoy","iceoffweek","iceonweek","season","Seasonname","Spring determine"
184,1979,1,1,20,810,10.5,"NA","NA","NA",8.1,"NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10.5,"NA","NA","NA",0.014175,"NA","NA","NA","NA",0.00000000794,"NA","NA","NA","NA","NA","NA","MLO",,,,136,335,20,48,1,"winter",0
185,1979,1,2,20,"NA",11.2,"NA","NA","NA",8.1,"NA",2.1,"NA","NA","NA",205,250,"NA",46,27,227,71,"NA",230,19.5,"NA",0.25,"NA","NA","NA","NA","NA","NA","NA",0.7,"NA","NA","NA",0,0,2.95,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.15,0.13,"NA","NA","NA","NA","NA","NA",10.5,"NA",49.21062724,"NA","NA","NA","NA","NA","NA",0.00000000794,"NA","NA","NA","NA","NA","NA","MLO",,,,136,335,20,48,1,"winter",0
186,1979,1,3,15,"NA",11,"NA","NA","NA",8.15,"NA",1.7,"NA","NA","NA",213,260,"NA",46,28,231,80,"NA",215,19.5,"NA",0.12,"NA","NA","NA","NA","NA","NA","NA",0.71,10.3,"NA","NA",0,0,3.38,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.1,"NA","NA","NA","NA","NA","NA","NA",10.5,"NA",51.17905233,"NA","NA","NA","NA","NA","NA",0.00000000708,"NA","NA","NA","NA","NA","NA","MLO",,,,136,335,20,48,1,"winter",0
187,1979,1,4,15,"NA",10.4,73,"NA",6,"NA",1,1.5,"NA","NA","NA",218,266,"NA",48,28,238,80,"NA",215,20,"NA",0.21,"NA","NA","NA","NA","NA","NA","NA",0.81,"NA","NA","NA",0,0,3.38,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.15,0.12,"NA","NA","NA","NA","NA","NA",10.5,"NA",52.36010738,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","MLO",,,,136,335,20,48,1,"winter",0
188,1979,2,5,15,810,10.2,72,"NA","NA",8.05,1,1.3,"NA","NA","NA",223,272,"NA",61,27,263,"NA","NA",220,20,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.48,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.13,0.17,"NA","NA","NA","NA","NA","NA",10.5,0.737132394,53.54116243,"NA",0.014175,6.516986481,10.40229193,0.000000304,0.0000000000396,0.00000000891,0.028351131,0.967350616,0.004298253,"NA","NA","NA","MLO",1450.067675,64.45370861,451.1759603,136,335,20,48,1,"winter",0
189,1979,2,6,15,900,9.7,68,"NA","NA",8,1,1.2,"NA","NA","NA",221,270,"NA",50,30,246,"NA","NA",250,20.5,"NA",0.26,"NA","NA","NA",0.25,"NA","NA","NA","NA",9.9,"NA","NA",0,0,"NA","NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.15,0.07,"NA","NA","NA","NA","NA","NA",10.5,0.823034388,53.14747742,"NA",0.01575,6.514638901,10.39290161,0.000000306,0.0000000000405,0.00000001,0.031547386,0.964549396,0.003903219,"NA","NA","NA","MLO",1685.029738,78.5261426,549.6829982,136,335,20,48,1,"winter",0
190,1979,2,7,15,950,8.8,62,"NA",6,7.95,1,1.1,"NA","NA","NA",224,273,"NA",50,31,254,"NA","NA",235,21,"NA",0.32,"NA","NA","NA",0.26,"NA","NA","NA",0.78,11.1,"NA","NA",0,0,4.1,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.15,0.15,"NA","NA","NA","NA","NA","NA",10.5,0.870962209,53.73800494,"NA",0.016625,6.513400016,10.38794607,0.000000307,0.0000000000409,0.0000000112,0.035177582,0.961315546,0.003506872,"NA","NA","NA","MLO",1922.605232,92.7529337,649.2705359,136,335,20,48,1,"winter",0
191,1979,2,8,15,980,8.4,59,"NA","NA",7.9,1,1,"NA","NA","NA",231,282,"NA",52,31,257,81,"NA",250,21.5,"NA",0.26,"NA","NA","NA","NA","NA","NA","NA",0.81,9.1,"NA","NA",0,0,4.2,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,1.21,0.18,"NA","NA","NA","NA","NA","NA",10.5,0.899786002,55.50958752,"NA",0.01715,6.512676999,10.38505399,0.000000307,0.0000000000412,0.0000000126,0.039252484,0.957613248,0.003134268,"NA","NA","NA","MLO",2173.872837,107.7982076,754.5874532,136,335,20,48,1,"winter",0
192,1979,3,9,15,"NA",8.1,57,"NA","NA",7.85,1,1,"NA","NA","NA",231,282,"NA",52,31,258,"NA","NA",215,21,"NA",0.32,"NA","NA","NA","NA","NA","NA","NA",0.82,"NA","NA","NA",0,0,"NA","NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.85,0.18,"NA","NA","NA","NA","NA","NA",10.5,"NA",55.50958752,"NA","NA","NA","NA","NA","NA",0.0000000141,"NA","NA","NA","NA","NA","NA","MLO",2426.531157,,,136,335,20,48,1,"winter",0
193,1979,3,10,10,1010,7,49,"NA","NA",7.7,1,1,"NA","NA","NA",230,281,"NA",51,32,261,82,"NA",240,21.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.6,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.07,0.23,"NA","NA","NA","NA","NA","NA",10.5,0.928658785,55.31274501,"NA",0.017675,6.511968335,10.38221934,0.000000308,0.0000000000415,0.00000002,0.060789618,0.937262146,0.001948237,"NA","NA","NA","MLO",3401.842775,181.3164822,1269.215376,136,335,20,48,1,"winter",0
