lakecode,lakename,lakeorriver,continent,country,state,latitude,longitude,elevation,mean_depth,max_depth,surface_area,shoreline,largest_city_population,power_plant_discharge,inlet_streams,area_drained,landuse_code,conductivity_us,secchi_depth,contributor,filename,initials,lat_decimal,lon_decimal,median_depth,comments
ARAI1,LAKE SUWA,L,A,JAPAN,NAGANO PREFECTURE,36 09 N,138 05 E,759,4.7,7.6,12.9,18,52000,-,-,531,UAFO,-999,-999,ARAI,ARAI,ARAI,36.15,138.08,-999,-999
ARAK1,LAKE SUWA (ARAKAWA),L,A,JAPAN,NAGANO PREFECTURE,36 09 N,138 05 E,759,4.7,7.6,12.9,18,52000,-,-,531,UAFO,-999,-999,ARAKAWA,ARAK1,ARAK,36.15,138.08,-999,ARAKAWA
ASK01,LAKE MJOSA - KISA-KAPP,L,E,NORWAY,-999,60.76,10.83,121,153,449,365,-999,-999,-,-,16420,-999,-999,-999,KVAMBEKK,AK,AK,60.76,10.83,-999,-999
BB1,MERCER,L,N,UNITED STATES,WI,46.1628,90.066,482.2,3.35,7.32,0.745,-999,-999,-,-,-999,-999,-999,-999,DALTON,BB,BB,46.16,-90.07,-999,-999
BB2,TURTLE FLAMBEAU FLOWAGE,L,N,UNITED STATES,WI,46 4 11,90 13 15,479.15,-999,15.2,54.8,-999,-999,-,-,-999,-999,-999,-999,DALTON,BB,BB,46.07,-90.22,-999,-999
BIR1,LAKE BALATON,L,E,HUNGARY,-999,46 50,17 40,104,3,11.2,596,195,30000,Y,Y,5774,-999,440,0.6,BIRO,BIR,BIR,46.83,17.67,-999,-999
CFM1,LAKE HILBERT,L,N,UNITED STATES,WI,45.71,88.41,-999,2.74,9.75,1.13,-999,-999,-,-,-999,-999,-999,-999,MOORE,CFM,CFM,45.71,-88.41,-999,-999
CS1,ST. REGIS LOWER,L,N,UNITED STATES,NY,44 25 52 N,74 17 53 W,493,-999,10.7,1.477,-999,-999,-,-,-999,-999,-999,-999,STAGER,CS,CS,44.43,-74.29,-999,Also see lakecode KMS16. This is the same lake with some discrepancies between the two data sets in reference to the dates of when the lake froze/thawed
DD01,SAND LAKE,L,N,UNITED STATES,WI,45.92,92.18,-999,6.4,15.24,3.755,-999,-999,-,-,-999,-999,-999,-999,DUFRAIN,DD,DD,45.92,-92.18,-999,-999
DML1,LEJ DA SAN MUREZZAN,L,E,SWITZERLAND,GRISONS,46 29 45 N,9 50 52 E,1768,25,44,0.78,-999,-999,N,Y,172,F A U,146.5,-999,LIVINGSTONE,DML,DML,46.49,9.84,-999,-999
DML2,LEJ DA SILVAPLAUNA,L,E,SWITZERLAND,GRISONS,46 27 01 N,9 47 32 E,1790.5,47,77,2.7,-999,-999,N,Y,2.7,F A,108.5,-999,LIVINGSTONE,DML,DML,46.45,9.79,-999,-999
DML3,LEJ DA SEGL,L,E,SWITZERLAND,GRISONS,46 25 28 N,9 44 10 E,1797,33.5,71,4.1,-999,-999,N,Y,45.7,F,95.5,-999,LIVINGSTONE,DML,DML,46.43,9.73,-999,-999
DMR1,LAKE MENDOTA,L,N,UNITED STATES,WI,43 06,89 24,259.1,12.8,25.3,39.377,33.8,190000,N,Y,55,UA,400,3.4,ROBERTSON,DMR,DMR,43.1,-89.4,-999,-999
DMR2,LAKE MONONA,L,N,UNITED STATES,WI,43 03,89 22,257.5,8.2,22.5,13.24,20.9,190000,Y,Y,104,U,-999,2.5,ROBERTSON,DMR,DMR,43.05,-89.37,-999,-999
EC01,BASS-PATTERSON LAKE,L,N,UNITED STATES,WI,45.945,91.63,-999,-999,10.7,0.761,-999,-999,-,-,-999,-999,-999,-999,COOK,EC,EC,45.95,-91.63,-999,-999
