station,lake,long,lat,altitude
ARAI1,LAKE SUWA,138.0837,36.04871,759
ARAK1,LAKE SUWA,138.0837,36.04871,750
ASK01,LAKE MJOSA - KISA-KAPP,11.0239687,60.7709675,121
BB1,MERCER,-90.05923505,46.15989217,482.2
BB2,TURTLE FLAMBEAU FLOWAGE,-90.1374156,46.07498711,479.15
BIR1,LAKE BALATON,17.83831935,46.88183838,104
CFM1,LAKE HILBERT,-88.41238406,45.70807149,447
CS1,ST. REGIS LOWER,-74.29,44.43,493
DD01,SAND LAKE,-92.18,45.92,299
DML1,LEJ DA SAN MUREZZAN,9.846736107,46.49367459,1768
DML2,LEJ DA SILVAPLAUNA,9.793260223,46.44743476,1790.5
DML3,LEJ DA SEGL,9.738537012,46.42035333,1797
DMR1,LAKE MENDOTA,-89.42022411,43.12837789,259.1
DMR2,LAKE MONONA,-89.36644349,43.06709696,257.5
EC01,BASS-PATTERSON LAKE,-91.62915952,45.9448744,348
EK10,VATIANJARVI,25.89999,62.48,89
EK11,LAKE KOIVUJARVI,26.25,63.46666667,130
EK13,LAKE NILAKKA (1429),26.55,63.13333333,102
EK17,LAKE PETAJAVESI (1450),25.2,62.23333333,111
EK18,PETTAMA,25.2,62.11666667,102
EK20,JOUTSJARVI,25.83333333,61.51666667,86
EK25,OULUJARVI,27.33333333,64.33333333,123
EK27,KIVIJARVI,25.16666667,63,118
EK28,LAKE CONSTANCE,9.22,47.67,394
EK3,LAKE KOLIMA (1405),25.75716897,63.2783635,111
EK9,LAKE KIIMASJARVI (1421),25.49830156,62.62761325,107
ETJ1,ANDERSON LAKE,-89.34409,46.17072,520
GAH1,LAKE AUBURN,-70.25056502,44.15068105,79
GAH10,KEZAR LAKE,-70.90120978,44.1934099,114
GAH11,MARANACOOK LAKE,-69.95481882,44.34961978,61
GAH12,MESSALONSKEE LAKE,-69.79217088,44.47680834,69
GAH14,MOOSELOOKMEGUNTIC LAKE,-70.81333274,44.93822091,441
GAH15,PENNESSEEWASSEE (NORWAY) LAKE,-70.58779471,44.23362539,118
GAH16,PONKAPOAG POND,-71.09534586,42.19247613,47
GAH17,PONTOOSUC LAKE,-73.24762999,42.49580119,334
GAH18,PORTAGE LAKE,-68.53429874,46.78790715,183
GAH2,AZISCOHOS LAKE,-71.00692285,45.02761407,456
GAH20,RICHARDSON LAKE,-70.86482964,44.82672408,436
GAH21,SEBAGO LAKE,-70.56620232,43.84484755,80
GAH22,SEBEC LAKE,-69.28187465,45.27895438,96
GAH23,SQUA PAN LAKE,-68.31544831,46.56057412,184
GAH24,SUNAPEE LAKE,-72.05284452,43.37603902,335
GAH25,SWAN LAKE,-68.99475881,44.54411246,59
GAH26,THOMPSON LAKE,-70.48948672,44.06918379,99
GAH27,UMBAGOG LAKE,-71.04762638,44.75973804,378
GAH28,WEST GRAND LAKE,-67.85519026,45.25322196,90
GAH29,LAKE WINNIPESAUKEE,-71.36157983,43.60318312,151
GAH3,CHINA LAKE,-69.57351673,44.43802104,57
GAH4,COBBOSSEECONTEE LAKE,-69.93193143,44.26646315,48
GAH5,DAMARISCOTTA LAKE,-69.48894637,44.13097599,15
GAH6,EAGLE LAKE,-68.59672343,47.06893593,174
GAH7,EMBDEN POND,-69.95236267,44.93873644,124
GAH8,FIRST CONNECTICUT LAKE,-71.24909783,45.09431356,491
GAH9,HOUGHTONS (HOOSICWHISICK) POND,-71.09638889,42.20722222,50
GC1,SKIFF LAKE,-67.53637334,45.81445189,205
GW202,RUNN,15.65327723,60.53042075,106.8
GW240,ORSASJON,14.54801963,61.07247475,159.9
GW341,NACKTEN,14.63117254,62.82382675,323.95
GW369,KALLSJON,12.97718981,63.56777875,380.525
GW484,STORUMAN,16.70974942,65.2615295,350.125
GW512,GOUTA,15.5179385,65.61206525,438.63333
GW592,JUKKASJARVI,20.70512184,67.82508,322.35
HB01,MIRROR LAKE,-71.69299041,43.9436421,213
HMFL,FISHER LAKE,-88.24577,45.91931,396
JB1,DAMARISCOTTA LAKE,-69.5,44.17,16
JD01,LAKE KEGONSA,-89.25144033,42.96564792,256.95
JGL01,SPIRIT LAKE,-95.10176239,43.47709337,427
JGL02,EAST OKOBOJI LAKE,-95.1,43.39,426
JGL03,WEST OKOBOJI LAKE,-95.16,43.39,426
JJM1,ALLEQUASH LAKE,-89.62049582,46.03668734,494.2
JJM10,NORTH TWIN LAKE,-89.1415281,46.04679463,512.67
JJM11,(BIG) LONG LAKE,-91.65017,45.75577,372
JJM13,LAKE KOSHKONONG,-88.9636817,42.87298679,236.53
JJM14,LAKE SHISHEBOGAMA,-89.81884176,45.89739739,479.7
JJM15,LAKE ESCANABA,-89.5865184,46.06422356,502.92
JJM16,LAKE MALLALIEU,-92.73948487,44.98949846,210.92
JJM17,LAKE NEBISH,-89.58883589,46.05142896,502.92
JJM18,LAKE WINGRA,-89.41921729,43.05414937,258.47
JJM19,MYSTERY LAKE,-89.5655,46.05646,506.27
JJM2,BIG MUSKELLUNGE LAKE,-89.62256607,46.01608472,500.3
JJM20,BRADLEY LAKE,-87.28333333,44.91666667,214
JJM21,ROCK LAKE,-88.93175983,43.07774868,252.07
JJM22,SHELL LAKE,-91.89643514,45.732154,370.94
JJM23,SPRUCE LAKE,-89.56701,46.05276,506.58
JJM24,BIG GREEN LAKE,-89.02786819,43.80378675,242.93
JJM25,BLACK OTTER LAKE,-88.637,44.333,238
JJM26,DEVILS LAKE,-89.73209947,43.41687466,293.52
JJM27,LAKE GENEVA,-88.47947845,42.56847127,263.35
JJM28,MAPLE LAKE,-89.72709959,46.14090908,497.74
JJM29,LAKE SUPERIOR,-90.89,46.6,183
JJM3,CRYSTAL BOG,-89.6,46,502
JJM30,LAKE SUPERIOR,-90.81,46.79,183
JJM31,ANVIL LAKE,-89.06448243,45.9442104,516.6
JJM32,LAKE SUPERIOR,-90.89,46.6,182.88
JJM33,LAKE SUPERIOR,-90.81,46.81,182.88
JJM4,CRYSTAL LAKE,-89.61286129,46.00163865,502.1
JJM5,LITTLE ROCK LAKE,-89.70497639,45.99765617,495.61
JJM6,SPARKLING LAKE,-89.70046914,46.00862229,494.8
JJM7,TROUT LAKE,-89.68333333,46.03333333,494
JJM8,TROUT LAKE,-89.66666667,46.03333333,491.8
JJM9,LAKE KEGONSA,-89.25,42.97,256
JK01,OULUJARVI,27.3,64.3,122.7
JK02,LAKE KALLAVESI (4079),27.77,62.83,81.8
JK03,LAKE NASIJARVI (3568),23.75618,61.69841,95.4
JK04,VESIJARVI,25.54,61.18,81.4
JK05,PAIJANNE,25.54,61.18,78.3
JK06,MUURASJARVI (1401),25.3576493,63.5067145,112.2
JK07,KALMARINJARVI (1417),24.99782492,62.778865,129.8
JK08,SUMMASJARVI (1419),25.38871454,62.64480075,108.5
JK09,PIELAVESI - SAVIA (1427),26.67,63.2,102.3
JK10,HANKAVESI - RAUTALAMPI (1436),26.74518901,62.5962525,96.1
JK11,KIVIJARVI,27.74017627,61.01162175,75.2
JK12,LAPPAJARVI - HALKOSAARI (4703),23.72044812,63.1565095,69.5
JK13,KITUSJARVI (3548),24.05533805,62.2827245,116.2
JK14,KUKKIA - PUUTIKKALA (3512),24.66871311,61.32826525,86.6
JK15,LANGELMAVESI,24.15,61.42,84.2
JK16,KIVIJARVI,27.40014422,60.9807595,75.1
JK17,ALA-RIEVELI (1468),26.18039437,61.3055515,77.8
JK18,VESIJARVI,25.65,60.99,111
JK19,JAASJARVI - HARTOLA (1457),26.15,61.61585,92.3
JK20,ALA-KINTAUS (1449),25.36632347,62.291679,154.4
JK21,IISVESI (1433),27.04,62.67,97.9
JK22,PAAJARVI - KARSTULA (1415),24.72974853,62.8555,144.4
JK23,KIVIJARVI,25.13,63.27,130.8
JK24,SAANIJARVI (1403),25.604626,63.4118875,114
JK25,HAUKIVESI,28.61,62.11,75.8
JK26,INARI,28.3,68.85,118.7
JK27,KEVOJARVI,27.01438653,69.75394,75.3
JK28,KILPISJARVI,20.79261835,69.0253405,472.8
JK29,KORVUANJARVI,28.6679415,65.372416,241.8
JK30,KUORTANEENJARVI,23.43126167,62.8337195,75.8
JK31,LENTUA,29.69352715,64.25122875,167.9
JK32,LESTIJARVI,24.72975385,63.531908,140.7
JK33,LIVOJARVI,28.12126372,65.99123575,243.7
JK34,MUTUSJARVI,26.84887281,69.01966425,146.2
JK35,NAAMANKAJARVI,28.30946922,65.1050725,173.5
JK36,OIJARVI,25.90313181,65.63273975,89.8
JK37,OUNASJARVI,23.58705027,68.3755525,286.9
JK38,PAIJANNE,25.56,61.48,78.3
JK39,PEERAJARVI,21.0939238,68.88764225,459.5
JK40,PIELINEN,29.13,63.54,93.7
JK41,POROVESI,27.12763,63.54326,85.8
JK42,REHJA,27.88733,64.20207,137.9
JK43,SAAKSJARVI - NURMIJARVI,24.6742357,60.5075345,99.8
